chauffageemissionid,chauffageid,begesid,co2emischauffage,datedebut,datefin,rank
38,4,2,10.423220993351318,2023-06-06,2023-06-06,1
39,7,2,1.6821837233985777,2023-06-07,2023-06-07,4
40,5,2,2.1009834309571023,2023-06-08,2023-06-08,1
41,4,2,17.843647561620735,2023-06-09,2023-06-09,3
42,2,2,11.51591806805992,2023-06-10,2023-06-10,2
43,6,2,7.759174207320747,2023-06-11,2023-06-11,2
44,4,2,3.2899986065475257,2023-06-12,2023-06-12,3
45,2,2,4.598361099825451,2023-06-13,2023-06-13,5
46,5,2,3.2443588813591875,2023-06-14,2023-06-14,4
47,6,2,18.086800127854158,2023-06-15,2023-06-15,4
48,3,2,7.661811377495078,2023-06-16,2023-06-16,3
49,7,2,19.59809178688962,2023-06-17,2023-06-17,2
50,6,2,12.203452731778581,2023-06-18,2023-06-18,5
51,6,2,9.914691072876714,2023-06-19,2023-06-19,5
52,8,2,17.59862633471126,2023-06-20,2023-06-20,2
53,4,2,27.09814841676408,2023-06-21,2023-06-21,1
54,1,2,19.747388329173674,2023-06-22,2023-06-22,1
55,5,2,1.6839250775616215,2023-06-23,2023-06-23,1
56,6,2,5.788501030857863,2023-06-24,2023-06-24,1
57,2,2,14.073987902229675,2023-06-25,2023-06-25,5
58,1,2,29.479357304934418,2023-06-26,2023-06-26,1
59,3,2,15.680942448864005,2023-06-27,2023-06-27,4
60,7,2,16.86865822460706,2023-06-28,2023-06-28,2
61,4,2,21.475015513205157,2023-06-29,2023-06-29,3
62,3,2,12.27134523875398,2023-06-30,2023-06-30,3
63,2,3,5.9522736394705635,2023-04-17,2023-04-17,3
64,8,3,17.005411467554378,2023-04-18,2023-04-18,5
65,1,3,22.866060155671683,2023-04-19,2023-04-19,5
66,2,3,1.34571375995549,2023-04-20,2023-04-20,3
67,3,3,21.524931407782486,2023-04-21,2023-04-21,1
68,8,3,29.96676172084331,2023-04-22,2023-04-22,2
69,8,3,20.768270882694,2023-04-23,2023-04-23,5
70,5,3,28.181269719626243,2023-04-24,2023-04-24,4
71,5,3,7.379153211469332,2023-04-25,2023-04-25,5
72,7,3,3.380042003354337,2023-04-26,2023-04-26,1
73,5,3,17.143530161611213,2023-04-27,2023-04-27,4
74,4,3,11.286477157943155,2023-04-28,2023-04-28,4
75,6,3,21.17273141720728,2023-04-29,2023-04-29,3
76,8,3,8.252526086536694,2023-04-30,2023-04-30,3
77,8,3,6.050317893520706,2023-05-01,2023-05-01,5
78,2,3,23.782407426408774,2023-05-02,2023-05-02,3
79,6,3,19.490590050460558,2023-05-03,2023-05-03,2
80,3,3,17.126406622869236,2023-05-04,2023-05-04,1
81,5,3,22.348436144993098,2023-05-05,2023-05-05,2
82,4,3,5.286744141999081,2023-05-06,2023-05-06,2
83,3,3,14.041738771247207,2023-05-07,2023-05-07,2
84,4,3,11.087806172597034,2023-05-08,2023-05-08,4
85,2,3,9.031871246677545,2023-05-09,2023-05-09,4
86,2,3,16.660122116192305,2023-05-10,2023-05-10,3
87,8,3,9.696197915427867,2023-05-11,2023-05-11,5
88,8,3,16.511276465597447,2023-05-12,2023-05-12,2
89,4,3,22.81963184182947,2023-05-13,2023-05-13,2
90,1,3,11.127363041613176,2023-05-14,2023-05-14,1
91,3,3,14.076264221579143,2023-05-15,2023-05-15,4
92,2,3,7.377247473302144,2023-05-16,2023-05-16,5
93,4,3,26.366405359269145,2023-05-17,2023-05-17,3
94,4,4,20.413134878919802,2023-07-12,2023-07-12,5
95,5,4,11.822580461633343,2023-07-13,2023-07-13,3
96,1,4,2.6029866240846604,2023-07-14,2023-07-14,3
97,4,4,29.98744125581221,2023-07-15,2023-07-15,4
98,5,4,21.70398330783926,2023-07-16,2023-07-16,5
99,7,4,29.383157816666106,2023-07-17,2023-07-17,5
100,3,4,9.465946552610049,2023-07-18,2023-07-18,4
101,7,4,23.13781802808508,2023-07-19,2023-07-19,3
102,5,4,19.519983425793555,2023-07-20,2023-07-20,4
103,4,4,15.701054730575782,2023-07-21,2023-07-21,3
104,2,4,5.736601319933384,2023-07-22,2023-07-22,3
105,4,4,10.218382710667493,2023-07-23,2023-07-23,2
106,3,4,23.39559497280884,2023-07-24,2023-07-24,4
107,5,4,3.999514173727813,2023-07-25,2023-07-25,3
108,8,4,20.245161496611825,2023-07-26,2023-07-26,3
109,8,4,13.138596248131062,2023-07-27,2023-07-27,3
110,2,4,22.36385634004278,2023-07-28,2023-07-28,5
111,8,4,24.531053362445505,2023-07-29,2023-07-29,1
112,4,4,28.10573179802415,2023-07-30,2023-07-30,4
113,7,4,23.161032540955716,2023-07-31,2023-07-31,5
114,2,4,6.0573183422357095,2023-08-01,2023-08-01,5
115,5,4,21.071318415141622,2023-08-02,2023-08-02,1
116,6,4,16.48016409898784,2023-08-03,2023-08-03,4
117,5,4,11.394299484583597,2023-08-04,2023-08-04,1
118,3,4,3.8968441822616757,2023-08-05,2023-08-05,5
119,5,4,14.519278252824366,2023-08-06,2023-08-06,3
120,1,4,10.33432192799128,2023-08-07,2023-08-07,2
121,8,4,5.9256690475339,2023-08-08,2023-08-08,5
122,7,4,22.943108503547194,2023-08-09,2023-08-09,1
123,1,4,18.51357295468066,2023-08-10,2023-08-10,3
124,4,4,6.952021339006065,2023-08-11,2023-08-11,4
125,5,5,17.389875521627676,2023-09-12,2023-09-12,1
126,4,5,25.67749666677499,2023-09-13,2023-09-13,4
127,6,5,20.460996295824753,2023-09-14,2023-09-14,4
128,2,5,26.46425792931213,2023-09-15,2023-09-15,5
129,1,5,20.18469235623603,2023-09-16,2023-09-16,3
130,4,5,19.32245794949939,2023-09-17,2023-09-17,2
131,6,5,16.702338968384566,2023-09-18,2023-09-18,2
132,4,5,24.59037955265473,2023-09-19,2023-09-19,2
133,5,5,2.676614011541469,2023-09-20,2023-09-20,1
134,2,5,2.979788607090381,2023-09-21,2023-09-21,1
135,5,5,7.226608066338732,2023-09-22,2023-09-22,4
136,6,5,10.652078805353163,2023-09-23,2023-09-23,2
137,1,5,22.094076992987464,2023-09-24,2023-09-24,3
138,1,5,10.201010093729254,2023-09-25,2023-09-25,4
139,5,5,27.895868357647558,2023-09-26,2023-09-26,2
140,6,5,7.51053527043851,2023-09-27,2023-09-27,2
141,4,5,19.947810915254415,2023-09-28,2023-09-28,5
142,2,5,2.243411818426192,2023-09-29,2023-09-29,5
143,1,5,11.198985468368214,2023-09-30,2023-09-30,1
144,3,5,12.044441458486679,2023-10-01,2023-10-01,2
145,3,5,24.898583295211814,2023-10-02,2023-10-02,5
146,5,5,1.6719966750266435,2023-10-03,2023-10-03,1
147,3,5,15.187211875000159,2023-10-04,2023-10-04,4
148,3,5,4.674914986226259,2023-10-05,2023-10-05,1
149,5,5,25.33825521886986,2023-10-06,2023-10-06,4
150,3,5,19.5328689658714,2023-10-07,2023-10-07,3
151,1,5,8.383929482004664,2023-10-08,2023-10-08,3
152,1,5,13.13013716106993,2023-10-09,2023-10-09,3
153,5,5,11.43442450839985,2023-10-10,2023-10-10,5
154,4,5,21.361475753833002,2023-10-11,2023-10-11,4
155,5,5,18.67629437340584,2023-10-12,2023-10-12,3
156,7,6,24.693297768958693,2023-09-25,2023-09-25,3
157,3,6,5.629893908612283,2023-09-26,2023-09-26,4
158,3,6,21.685538349447675,2023-09-27,2023-09-27,3
159,4,6,26.185112836985013,2023-09-28,2023-09-28,2
160,8,6,29.525905689896625,2023-09-29,2023-09-29,3
161,8,6,9.060740097686613,2023-09-30,2023-09-30,4
162,2,6,12.547558729710456,2023-10-01,2023-10-01,3
163,7,6,12.730469159113182,2023-10-02,2023-10-02,3
164,3,6,7.930837991147389,2023-10-03,2023-10-03,2
165,6,6,4.492320361226131,2023-10-04,2023-10-04,2
166,8,6,19.483422492404973,2023-10-05,2023-10-05,1
167,8,6,21.443883832975317,2023-10-06,2023-10-06,4
168,8,6,3.212915087845081,2023-10-07,2023-10-07,5
169,1,6,18.318272478237436,2023-10-08,2023-10-08,2
170,4,6,8.542307511016816,2023-10-09,2023-10-09,4
171,1,6,17.168498053874885,2023-10-10,2023-10-10,5
172,5,6,1.032816359031444,2023-10-11,2023-10-11,3
173,5,6,8.148164765487541,2023-10-12,2023-10-12,1
174,7,6,7.370984206501833,2023-10-13,2023-10-13,1
175,7,6,23.787259260731833,2023-10-14,2023-10-14,3
176,6,6,7.4123835290175455,2023-10-15,2023-10-15,5
177,8,6,17.23171368158777,2023-10-16,2023-10-16,1
178,7,6,26.104401881539577,2023-10-17,2023-10-17,5
179,8,6,10.354295012572036,2023-10-18,2023-10-18,4
180,3,6,18.35356588648559,2023-10-19,2023-10-19,2
181,1,6,25.9352509137018,2023-10-20,2023-10-20,5
182,6,6,23.415780909040663,2023-10-21,2023-10-21,1
183,8,6,4.957268128736456,2023-10-22,2023-10-22,5
184,7,6,22.40988899180757,2023-10-23,2023-10-23,1
185,8,6,25.726012030355946,2023-10-24,2023-10-24,5
186,6,6,19.56581801346747,2023-10-25,2023-10-25,3
187,2,7,8.93476599564529,2023-05-27,2023-05-27,3
188,8,7,16.575546683195874,2023-05-28,2023-05-28,5
189,1,7,16.503372799223456,2023-05-29,2023-05-29,5
190,7,7,17.185161312872093,2023-05-30,2023-05-30,2
191,6,7,24.63305204520138,2023-05-31,2023-05-31,1
192,1,7,19.125843013808336,2023-06-01,2023-06-01,2
193,5,7,24.85625598131723,2023-06-02,2023-06-02,1
194,8,7,7.057685629636225,2023-06-03,2023-06-03,5
195,4,7,24.51825000912166,2023-06-04,2023-06-04,2
196,1,7,25.471946178387725,2023-06-05,2023-06-05,5
197,3,7,4.974678317190987,2023-06-06,2023-06-06,3
198,7,7,8.600733496727047,2023-06-07,2023-06-07,2
199,5,7,7.262393498406825,2023-06-08,2023-06-08,4
200,6,7,19.99642161433388,2023-06-09,2023-06-09,1
201,8,7,2.133515462036639,2023-06-10,2023-06-10,4
202,7,7,18.28057771230186,2023-06-11,2023-06-11,3
203,5,7,28.483666024586526,2023-06-12,2023-06-12,5
204,1,7,25.10146301133276,2023-06-13,2023-06-13,3
205,7,7,20.56482326897966,2023-06-14,2023-06-14,5
206,4,7,10.41025456255886,2023-06-15,2023-06-15,4
207,5,7,26.93877187082666,2023-06-16,2023-06-16,5
208,6,7,11.05527493785,2023-06-17,2023-06-17,1
209,2,7,17.36752766943951,2023-06-18,2023-06-18,2
210,2,7,18.080338508301555,2023-06-19,2023-06-19,5
211,7,7,15.333166545089558,2023-06-20,2023-06-20,5
212,7,7,1.2106131674708918,2023-06-21,2023-06-21,1
213,1,7,1.2984410681244993,2023-06-22,2023-06-22,5
214,2,7,19.51437591198995,2023-06-23,2023-06-23,4
215,4,7,7.896396000452023,2023-06-24,2023-06-24,4
216,2,7,1.7143832404958448,2023-06-25,2023-06-25,5
217,6,7,23.707474721248662,2023-06-26,2023-06-26,5
218,5,8,10.959348355414864,2023-08-19,2023-08-19,1
219,1,8,24.52005400840818,2023-08-20,2023-08-20,4
220,3,8,11.976267388515737,2023-08-21,2023-08-21,3
221,5,8,11.01033435118518,2023-08-22,2023-08-22,5
222,4,8,29.675758062528704,2023-08-23,2023-08-23,4
223,5,8,13.89392544300659,2023-08-24,2023-08-24,2
224,8,8,5.726316530643111,2023-08-25,2023-08-25,4
225,7,8,18.862812421788504,2023-08-26,2023-08-26,4
226,6,8,14.76546202180409,2023-08-27,2023-08-27,1
227,6,8,8.397208655945686,2023-08-28,2023-08-28,4
228,7,8,17.441479802773333,2023-08-29,2023-08-29,1
229,8,8,26.821748155982196,2023-08-30,2023-08-30,4
230,4,8,24.715103729583415,2023-08-31,2023-08-31,4
231,7,8,2.327256556930916,2023-09-01,2023-09-01,4
232,6,8,18.577734372723178,2023-09-02,2023-09-02,2
233,2,8,27.172043352642277,2023-09-03,2023-09-03,1
234,6,8,25.140765600917998,2023-09-04,2023-09-04,2
235,1,8,16.6590921149929,2023-09-05,2023-09-05,4
236,7,8,14.361823233681283,2023-09-06,2023-09-06,3
237,1,8,11.693548255658445,2023-09-07,2023-09-07,3
238,1,8,28.493197914930118,2023-09-08,2023-09-08,1
239,4,8,16.997330045449587,2023-09-09,2023-09-09,3
240,5,8,16.91618063140121,2023-09-10,2023-09-10,1
241,4,8,4.296063728913784,2023-09-11,2023-09-11,4
242,8,8,22.04908702863491,2023-09-12,2023-09-12,2
243,1,8,6.30509755494221,2023-09-13,2023-09-13,4
244,5,8,13.704493294883122,2023-09-14,2023-09-14,3
245,2,8,13.686789006523343,2023-09-15,2023-09-15,1
246,4,8,7.80535068679666,2023-09-16,2023-09-16,3
247,6,8,23.11365182437451,2023-09-17,2023-09-17,3
248,7,8,13.00607956455376,2023-09-18,2023-09-18,5
249,2,9,29.081332734784173,2023-01-06,2023-01-06,4
250,7,9,17.536304342586522,2023-01-07,2023-01-07,3
251,7,9,23.34762664205737,2023-01-08,2023-01-08,1
252,1,9,17.324836015888486,2023-01-09,2023-01-09,1
253,7,9,28.44690994026097,2023-01-10,2023-01-10,4
254,1,9,27.36092446192851,2023-01-11,2023-01-11,4
255,2,9,4.74802752129364,2023-01-12,2023-01-12,2
256,2,9,23.425485166355674,2023-01-13,2023-01-13,2
257,7,9,7.518568380080962,2023-01-14,2023-01-14,1
258,1,9,14.734525958288248,2023-01-15,2023-01-15,3
259,1,9,9.315669441074753,2023-01-16,2023-01-16,2
260,2,9,13.235091472371549,2023-01-17,2023-01-17,5
261,3,9,14.132182633503126,2023-01-18,2023-01-18,3
262,5,9,18.342661588059514,2023-01-19,2023-01-19,2
263,7,9,3.1969387874109225,2023-01-20,2023-01-20,1
264,2,9,23.76367673443099,2023-01-21,2023-01-21,5
265,2,9,26.25182721407029,2023-01-22,2023-01-22,4
266,3,9,5.170811977389459,2023-01-23,2023-01-23,4
267,6,9,5.554384873916507,2023-01-24,2023-01-24,2
268,3,9,17.483440320199772,2023-01-25,2023-01-25,3
269,4,9,16.34121162401376,2023-01-26,2023-01-26,5
270,6,9,26.993627467676216,2023-01-27,2023-01-27,4
271,7,9,11.896126873527471,2023-01-28,2023-01-28,2
272,1,9,21.6617502296877,2023-01-29,2023-01-29,2
273,5,9,5.834149062530536,2023-01-30,2023-01-30,3
274,8,9,13.734613398677759,2023-01-31,2023-01-31,3
275,7,9,11.934305688569927,2023-02-01,2023-02-01,2
276,4,9,21.74655391411938,2023-02-02,2023-02-02,4
277,8,9,19.989657142233817,2023-02-03,2023-02-03,4
278,6,9,5.626289405015882,2023-02-04,2023-02-04,1
279,4,9,4.092507558201753,2023-02-05,2023-02-05,3
280,6,10,1.8011769470851573,2023-09-12,2023-09-12,1
281,6,10,2.380630258611821,2023-09-13,2023-09-13,3
282,3,10,7.965445235428547,2023-09-14,2023-09-14,3
283,2,10,9.333583375818518,2023-09-15,2023-09-15,4
284,6,10,5.974193702626984,2023-09-16,2023-09-16,2
285,7,10,19.60733200278549,2023-09-17,2023-09-17,2
286,6,10,27.50281915612387,2023-09-18,2023-09-18,4
287,8,10,7.614473410489499,2023-09-19,2023-09-19,2
288,3,10,5.138881980483857,2023-09-20,2023-09-20,5
289,8,10,2.687415678415052,2023-09-21,2023-09-21,3
290,5,10,1.6478790565060983,2023-09-22,2023-09-22,2
291,7,10,6.065447169610236,2023-09-23,2023-09-23,3
292,5,10,23.81836679668019,2023-09-24,2023-09-24,4
293,8,10,7.270156974896195,2023-09-25,2023-09-25,2
294,6,10,5.725382297059156,2023-09-26,2023-09-26,5
295,6,10,27.27514425851881,2023-09-27,2023-09-27,3
296,3,10,27.246013925598042,2023-09-28,2023-09-28,5
297,6,10,25.851500172359568,2023-09-29,2023-09-29,3
298,4,10,19.698645889423783,2023-09-30,2023-09-30,2
299,7,10,1.2845702004352328,2023-10-01,2023-10-01,4
300,7,10,15.90910545403051,2023-10-02,2023-10-02,5
301,3,10,6.849748473334468,2023-10-03,2023-10-03,2
302,8,10,1.8449076782915759,2023-10-04,2023-10-04,5
303,8,10,11.237749049584052,2023-10-05,2023-10-05,4
304,8,10,19.45499274851621,2023-10-06,2023-10-06,1
305,5,10,25.888317635896456,2023-10-07,2023-10-07,5
306,1,10,2.9591136631363013,2023-10-08,2023-10-08,1
307,3,10,13.99510196580777,2023-10-09,2023-10-09,2
308,5,10,9.792655115337354,2023-10-10,2023-10-10,1
309,5,10,19.5827166156337,2023-10-11,2023-10-11,2
310,5,10,8.26127683099414,2023-10-12,2023-10-12,1
311,2,11,23.52241575563369,2023-04-14,2023-04-14,5
312,2,11,16.669223328203707,2023-04-15,2023-04-15,5
313,4,11,9.200058710042729,2023-04-16,2023-04-16,2
314,5,11,17.969756759136843,2023-04-17,2023-04-17,1
315,8,11,24.204133268551924,2023-04-18,2023-04-18,1
316,4,11,21.425256312737293,2023-04-19,2023-04-19,1
317,8,11,1.2906784046987,2023-04-20,2023-04-20,5
318,8,11,28.46525987653896,2023-04-21,2023-04-21,3
319,2,11,13.992356639966747,2023-04-22,2023-04-22,1
320,3,11,3.145782124249952,2023-04-23,2023-04-23,4
321,2,11,15.68184700639078,2023-04-24,2023-04-24,3
322,6,11,19.92235884083537,2023-04-25,2023-04-25,5
323,8,11,28.076624660706294,2023-04-26,2023-04-26,2
324,6,11,17.748451585625485,2023-04-27,2023-04-27,3
325,4,11,6.436543510977806,2023-04-28,2023-04-28,2
326,4,11,13.041891049161299,2023-04-29,2023-04-29,4
327,6,11,23.888014853989617,2023-04-30,2023-04-30,2
328,7,11,22.24083708931788,2023-05-01,2023-05-01,2
329,6,11,16.055354769379747,2023-05-02,2023-05-02,5
330,2,11,17.230779661507857,2023-05-03,2023-05-03,5
331,2,11,27.150518552331995,2023-05-04,2023-05-04,5
332,4,11,18.697585344463512,2023-05-05,2023-05-05,2
333,6,11,20.273255589542295,2023-05-06,2023-05-06,1
334,7,11,16.491427598643263,2023-05-07,2023-05-07,3
335,6,11,9.283958545874537,2023-05-08,2023-05-08,2
336,4,11,29.025969823698418,2023-05-09,2023-05-09,4
337,5,11,3.7416792950639595,2023-05-10,2023-05-10,1
338,8,11,4.7453375440839185,2023-05-11,2023-05-11,2
339,3,11,3.363030822217148,2023-05-12,2023-05-12,1
340,1,11,23.109150624134543,2023-05-13,2023-05-13,5
341,8,11,18.988920397812212,2023-05-14,2023-05-14,5
342,5,12,19.839034744478134,2023-04-16,2023-04-16,1
343,7,12,6.08728209385361,2023-04-17,2023-04-17,2
344,7,12,12.557366886119159,2023-04-18,2023-04-18,3
345,5,12,17.498794201005964,2023-04-19,2023-04-19,2
346,6,12,28.451650448104388,2023-04-20,2023-04-20,2
347,7,12,27.52804187904192,2023-04-21,2023-04-21,3
348,6,12,20.15764249235494,2023-04-22,2023-04-22,2
349,8,12,5.538817201461142,2023-04-23,2023-04-23,4
350,5,12,4.820390235227448,2023-04-24,2023-04-24,5
351,7,12,20.024637150598995,2023-04-25,2023-04-25,2
352,3,12,19.071606271965123,2023-04-26,2023-04-26,1
353,5,12,23.83855231191361,2023-04-27,2023-04-27,3
354,4,12,10.61299895292358,2023-04-28,2023-04-28,4
355,7,12,29.85895144123969,2023-04-29,2023-04-29,1
356,2,12,15.114215420521646,2023-04-30,2023-04-30,5
357,6,12,18.231026128500336,2023-05-01,2023-05-01,4
358,7,12,27.37736297244131,2023-05-02,2023-05-02,4
359,4,12,16.61822684359058,2023-05-03,2023-05-03,4
360,7,12,3.5007669832974853,2023-05-04,2023-05-04,3
361,8,12,15.83478611138533,2023-05-05,2023-05-05,5
362,1,12,24.852116519169755,2023-05-06,2023-05-06,5
363,1,12,29.995561919896677,2023-05-07,2023-05-07,2
364,4,12,29.79860926208906,2023-05-08,2023-05-08,5
365,3,12,26.441164576957995,2023-05-09,2023-05-09,5
366,8,12,10.984650327325436,2023-05-10,2023-05-10,4
367,4,12,26.615589949724892,2023-05-11,2023-05-11,5
368,2,12,14.062895953154118,2023-05-12,2023-05-12,2
369,5,12,9.268206221271807,2023-05-13,2023-05-13,3
370,2,12,11.897031892219612,2023-05-14,2023-05-14,5
371,5,12,17.37935969308729,2023-05-15,2023-05-15,5
372,8,12,21.77318026109915,2023-05-16,2023-05-16,2
373,3,13,4.479216211827209,2023-02-26,2023-02-26,4
374,6,13,8.436937923530312,2023-02-27,2023-02-27,1
375,3,13,8.109350926144536,2023-02-28,2023-02-28,4
376,6,13,20.511554220566786,2023-03-01,2023-03-01,1
377,8,13,22.467507175953173,2023-03-02,2023-03-02,2
378,8,13,3.7768663809404766,2023-03-03,2023-03-03,4
379,6,13,19.952648306789875,2023-03-04,2023-03-04,3
380,5,13,7.034680837489668,2023-03-05,2023-03-05,2
381,3,13,26.685928076941583,2023-03-06,2023-03-06,2
382,6,13,20.33083143584128,2023-03-07,2023-03-07,3
383,6,13,9.468027476671164,2023-03-08,2023-03-08,4
384,2,13,1.490313925679367,2023-03-09,2023-03-09,1
385,6,13,13.912665484209677,2023-03-10,2023-03-10,5
386,8,13,15.38819476454937,2023-03-11,2023-03-11,4
387,4,13,7.152166669492485,2023-03-12,2023-03-12,2
388,7,13,11.605927215348373,2023-03-13,2023-03-13,2
389,4,13,1.187977659971784,2023-03-14,2023-03-14,4
390,6,13,16.234800400814787,2023-03-15,2023-03-15,4
391,1,13,3.2945176505878186,2023-03-16,2023-03-16,4
392,2,13,14.280649090328605,2023-03-17,2023-03-17,5
393,3,13,18.071541819760043,2023-03-18,2023-03-18,1
394,8,13,17.492356903104813,2023-03-19,2023-03-19,1
395,1,13,25.017136389530297,2023-03-20,2023-03-20,3
396,2,13,4.333538057097416,2023-03-21,2023-03-21,4
397,3,13,29.235357875536163,2023-03-22,2023-03-22,2
398,7,13,8.090437371038922,2023-03-23,2023-03-23,3
399,2,13,23.891647956400448,2023-03-24,2023-03-24,4
400,2,13,15.29399336751974,2023-03-25,2023-03-25,2
401,4,13,5.225002779672997,2023-03-26,2023-03-26,3
402,6,13,11.507320984765649,2023-03-27,2023-03-27,1
403,1,13,23.277732496837114,2023-03-28,2023-03-28,1
404,7,14,18.25447598505975,2023-01-25,2023-01-25,4
405,8,14,27.437914908439165,2023-01-26,2023-01-26,2
406,7,14,19.69116085534555,2023-01-27,2023-01-27,4
407,1,14,20.15262270719638,2023-01-28,2023-01-28,2
408,7,14,1.4565953623460297,2023-01-29,2023-01-29,4
409,5,14,4.597169550102031,2023-01-30,2023-01-30,2
410,7,14,13.350691490286398,2023-01-31,2023-01-31,3
411,3,14,5.564990614723403,2023-02-01,2023-02-01,4
412,4,14,5.821247016009225,2023-02-02,2023-02-02,5
413,1,14,23.61367230561713,2023-02-03,2023-02-03,2
414,2,14,18.23694200490649,2023-02-04,2023-02-04,3
415,1,14,4.251957669412702,2023-02-05,2023-02-05,5
416,3,14,29.794421145214113,2023-02-06,2023-02-06,1
417,8,14,15.551177516483916,2023-02-07,2023-02-07,3
418,5,14,28.08257737288494,2023-02-08,2023-02-08,5
419,1,14,2.1841693100825648,2023-02-09,2023-02-09,1
420,4,14,21.45213845567973,2023-02-10,2023-02-10,2
421,1,14,12.683570609365319,2023-02-11,2023-02-11,5
422,2,14,25.583338521789017,2023-02-12,2023-02-12,5
423,2,14,23.57738795768406,2023-02-13,2023-02-13,4
424,1,14,29.14106239325098,2023-02-14,2023-02-14,1
425,3,14,29.38369664079511,2023-02-15,2023-02-15,1
426,5,14,2.269827094030876,2023-02-16,2023-02-16,2
427,2,14,5.672588681419673,2023-02-17,2023-02-17,2
428,4,14,17.214419244108104,2023-02-18,2023-02-18,2
429,3,14,16.650284056531156,2023-02-19,2023-02-19,2
430,1,14,11.600270489638163,2023-02-20,2023-02-20,5
431,5,14,4.479300910701825,2023-02-21,2023-02-21,4
432,4,14,2.068927816254775,2023-02-22,2023-02-22,5
433,5,14,24.354161562597668,2023-02-23,2023-02-23,5
434,2,14,29.187951934710167,2023-02-24,2023-02-24,5
435,5,15,5.421453772505377,2023-08-17,2023-08-17,3
436,5,15,22.460711494635277,2023-08-18,2023-08-18,5
437,2,15,20.289185481159297,2023-08-19,2023-08-19,4
438,1,15,12.872906879633398,2023-08-20,2023-08-20,2
439,4,15,26.80540908606053,2023-08-21,2023-08-21,3
440,6,15,5.127802212368064,2023-08-22,2023-08-22,3
441,8,15,28.676188423470144,2023-08-23,2023-08-23,4
442,4,15,3.4268123122071605,2023-08-24,2023-08-24,2
443,2,15,23.766493159937298,2023-08-25,2023-08-25,4
444,7,15,15.53596029670328,2023-08-26,2023-08-26,2
445,1,15,29.61790472581287,2023-08-27,2023-08-27,3
446,1,15,2.6995188430998858,2023-08-28,2023-08-28,1
447,6,15,9.14184686348848,2023-08-29,2023-08-29,3
448,1,15,12.917490490144367,2023-08-30,2023-08-30,3
449,7,15,14.151643311125254,2023-08-31,2023-08-31,4
450,3,15,23.4373623671948,2023-09-01,2023-09-01,2
451,8,15,29.48549987732775,2023-09-02,2023-09-02,3
452,8,15,25.176266123344067,2023-09-03,2023-09-03,4
453,5,15,2.180471828597354,2023-09-04,2023-09-04,5
454,5,15,12.752577732436958,2023-09-05,2023-09-05,3
455,7,15,27.51682491183772,2023-09-06,2023-09-06,4
456,2,15,11.165358614143194,2023-09-07,2023-09-07,3
457,3,15,12.018897823981257,2023-09-08,2023-09-08,2
458,8,15,12.295063014468333,2023-09-09,2023-09-09,3
459,1,15,2.219033140175709,2023-09-10,2023-09-10,2
460,1,15,24.919565926919265,2023-09-11,2023-09-11,5
461,5,15,12.945991890546958,2023-09-12,2023-09-12,5
462,3,15,22.658927913229803,2023-09-13,2023-09-13,3
463,4,15,21.674623876995813,2023-09-14,2023-09-14,3
