alimentationemissionid,alimentid,begesid,co2emisalimentation,datedebut,datefin,rank
106,3,12,4.51779269783081,2023-05-02,2023-05-02,3
107,3,12,5.394210801623424,2023-05-06,2023-05-06,1
108,2,12,2.999996540091763,2023-05-07,2023-05-07,1
109,2,12,11.671078166349858,2023-05-08,2023-05-08,2
110,2,12,8.386635870403309,2023-05-09,2023-05-09,3
111,2,12,16.871118769222736,2023-05-16,2023-05-16,2
112,2,13,9.250046387441282,2023-03-02,2023-03-02,3
113,3,13,10.279104867069753,2023-03-06,2023-03-06,2
114,2,13,14.202487589047237,2023-03-09,2023-03-09,4
115,2,13,3.2567031455812923,2023-03-13,2023-03-13,1
116,3,13,17.87705695531463,2023-03-16,2023-03-16,5
117,2,13,8.369111929759182,2023-03-18,2023-03-18,3
118,3,13,7.227265368084377,2023-03-22,2023-03-22,3
119,2,13,8.978733387664054,2023-03-25,2023-03-25,3
120,3,13,14.663561049488145,2023-03-27,2023-03-27,3
121,9,14,15.008895028284828,2023-01-30,2023-01-30,3
122,9,14,19.248973468390375,2023-02-07,2023-02-07,4
123,9,14,16.836936373970932,2023-02-09,2023-02-09,1
124,11,14,12.397984608244393,2023-02-11,2023-02-11,2
125,9,14,19.710538770079243,2023-02-12,2023-02-12,5
126,11,14,18.61681431601545,2023-02-12,2023-02-12,1
127,11,14,1.5687893068940983,2023-02-14,2023-02-14,4
128,9,14,15.87251088765911,2023-02-15,2023-02-15,5
129,11,14,9.969209757606984,2023-02-18,2023-02-18,5
130,11,14,6.559592903050824,2023-02-23,2023-02-23,5
131,10,15,19.539875700138516,2023-08-19,2023-08-19,3
132,12,15,7.427899257705485,2023-08-19,2023-08-19,2
133,12,15,2.096198114182089,2023-08-23,2023-08-23,1
134,10,15,16.538852276032415,2023-08-25,2023-08-25,1
135,10,15,18.095336511397846,2023-08-29,2023-08-29,2
136,10,15,8.293584344235855,2023-08-30,2023-08-30,3
137,12,15,15.375236816221944,2023-08-30,2023-08-30,1
138,11,15,13.498598299539683,2023-09-01,2023-09-01,3
139,11,15,5.536849482269467,2023-09-05,2023-09-05,5
140,11,15,19.34443740838634,2023-09-06,2023-09-06,3
141,11,16,7.752859632643496,2023-01-09,2023-01-09,5
142,9,16,12.468673837229659,2023-01-13,2023-01-13,5
143,11,16,12.432998322318111,2023-01-17,2023-01-17,3
144,9,16,4.883143376939461,2023-01-19,2023-01-19,1
145,11,16,8.021846164737896,2023-01-21,2023-01-21,3
146,9,16,17.414998003835716,2023-02-07,2023-02-07,1
147,10,17,8.049118515976334,2023-08-02,2023-08-02,2
148,10,17,17.89255267369767,2023-08-08,2023-08-08,2
149,12,17,2.2890496516802474,2023-08-10,2023-08-10,2
150,10,17,12.038993041754296,2023-08-11,2023-08-11,4
151,10,17,3.223703298136157,2023-08-12,2023-08-12,2
152,12,17,3.6072736905902354,2023-08-15,2023-08-15,1
153,12,17,5.422769764825106,2023-08-16,2023-08-16,1
154,10,17,1.715156750237974,2023-08-16,2023-08-16,2
155,10,17,4.80797442268534,2023-08-17,2023-08-17,4
156,12,17,6.248823918688552,2023-08-18,2023-08-18,1
157,12,17,8.200572952698725,2023-08-19,2023-08-19,2
158,10,17,18.43077609521935,2023-08-26,2023-08-26,5
159,10,17,9.078769397517117,2023-08-27,2023-08-27,1
160,12,17,11.62276739208,2023-08-31,2023-08-31,2
161,11,18,17.883200998663348,2023-12-05,2023-12-05,3
162,11,18,10.095334901165078,2023-12-06,2023-12-06,4
163,9,18,10.845232387984801,2023-12-06,2023-12-06,3
164,9,18,18.66236403087857,2023-12-07,2023-12-07,3
165,9,18,12.336417088726567,2023-12-11,2023-12-11,1
166,11,18,15.058931814618642,2023-12-14,2023-12-14,3
167,11,18,3.6881165795898614,2023-12-15,2023-12-15,4
168,9,18,13.125558936159841,2023-12-16,2023-12-16,1
169,11,18,9.440777610757852,2023-12-19,2023-12-19,5
170,11,18,19.466723795952458,2023-12-21,2023-12-21,2
171,11,18,13.423798056440155,2023-12-23,2023-12-23,5
172,9,18,13.667073938537078,2023-12-25,2023-12-25,5
173,11,18,8.95851171536776,2023-12-25,2023-12-25,5
174,9,18,16.606281878824674,2023-12-30,2023-12-30,1
175,9,18,5.1513677023088915,2024-01-03,2024-01-03,4
176,11,18,1.1843416955333308,2024-01-03,2024-01-03,3
177,9,18,17.890039811171146,2024-01-04,2024-01-04,5
178,3,19,3.842002728329045,2023-05-01,2023-05-01,4
179,2,19,15.307500072935342,2023-05-01,2023-05-01,3
180,2,19,9.219063486480538,2023-05-04,2023-05-04,4
181,3,19,1.5031789351337514,2023-05-06,2023-05-06,3
182,2,19,6.63090376255782,2023-05-12,2023-05-12,1
183,3,19,10.50011390843055,2023-05-14,2023-05-14,3
184,2,19,18.604896955186007,2023-05-27,2023-05-27,1
185,2,19,8.08827664552286,2023-05-29,2023-05-29,5
186,3,20,13.006969370596618,2023-03-27,2023-03-27,5
187,3,20,11.16882409456158,2023-03-30,2023-03-30,4
188,2,20,3.5044725443240714,2023-03-30,2023-03-30,2
189,3,20,2.971033479297485,2023-04-01,2023-04-01,5
190,3,20,1.3129188062239243,2023-04-02,2023-04-02,2
191,3,20,6.162470449846694,2023-04-03,2023-04-03,1
192,2,20,16.141345269420036,2023-04-05,2023-04-05,1
193,2,20,1.888397071994101,2023-04-07,2023-04-07,4
194,2,20,9.595900584423648,2023-04-11,2023-04-11,3
195,2,20,2.6676234717116225,2023-04-18,2023-04-18,5
196,2,20,14.994409230774028,2023-04-19,2023-04-19,4
197,2,20,5.284868628580389,2023-04-20,2023-04-20,3
198,11,21,5.91689867248765,2023-10-23,2023-10-23,3
199,11,21,10.118761656061054,2023-11-11,2023-11-11,3
200,11,21,2.004831694788955,2023-11-12,2023-11-12,1
201,11,21,6.716924121184515,2023-11-14,2023-11-14,3
202,11,21,15.533170320236472,2023-11-17,2023-11-17,5
203,11,21,11.28496823758708,2023-11-18,2023-11-18,3
204,11,21,8.083179516179936,2023-11-20,2023-11-20,2
205,11,22,16.164872433152233,2023-11-11,2023-11-11,5
206,11,22,15.120092512975505,2023-11-21,2023-11-21,1
207,11,22,10.471838955878539,2023-11-25,2023-11-25,1
208,11,22,18.337146739376397,2023-12-01,2023-12-01,1
209,9,22,9.943951979318872,2023-12-01,2023-12-01,4
210,3,23,18.491925146345352,2023-04-04,2023-04-04,1
211,3,23,17.917375962722403,2023-04-07,2023-04-07,5
212,2,23,12.989904342421992,2023-04-10,2023-04-10,2
213,3,23,2.5366498094258425,2023-04-11,2023-04-11,4
214,3,23,15.55848557995314,2023-04-13,2023-04-13,5
215,3,23,18.20604138576529,2023-04-23,2023-04-23,2
216,2,23,18.91378840007662,2023-04-25,2023-04-25,3
217,2,23,13.978512010392526,2023-04-30,2023-04-30,5
218,3,23,4.1829826616252355,2023-05-03,2023-05-03,1
219,11,24,13.259767289027286,2023-09-08,2023-09-08,1
220,11,24,2.7633483835694372,2023-09-25,2023-09-25,3
221,11,24,15.83082769257876,2023-10-04,2023-10-04,5
222,2,25,7.167598395960474,2023-05-24,2023-05-24,2
223,3,25,7.264524594149999,2023-05-31,2023-05-31,3
224,10,25,2.4481496927877564,2023-06-01,2023-06-01,5
225,12,25,3.1580386841470856,2023-06-02,2023-06-02,4
226,12,25,10.890373893428652,2023-06-07,2023-06-07,4
227,10,25,19.260417665958563,2023-06-09,2023-06-09,2
228,10,25,13.882601557071261,2023-06-11,2023-06-11,1
229,12,25,10.258741345987952,2023-06-12,2023-06-12,3
230,12,25,3.793610207098237,2023-06-13,2023-06-13,2
231,10,25,17.540058668224294,2023-06-17,2023-06-17,5
232,12,26,16.305689495120966,2023-07-01,2023-07-01,2
233,10,26,13.563163159293229,2023-07-03,2023-07-03,4
234,12,26,9.67948718852322,2023-07-04,2023-07-04,3
235,12,26,11.24753800126977,2023-07-06,2023-07-06,1
236,10,26,17.073786107060485,2023-07-08,2023-07-08,5
237,12,26,2.474747366925193,2023-07-15,2023-07-15,1
238,10,26,14.072720846633207,2023-07-16,2023-07-16,3
239,12,26,9.06028291292014,2023-07-17,2023-07-17,2
240,12,26,11.980488414448647,2023-07-23,2023-07-23,5
241,9,27,4.427006606344381,2023-01-19,2023-01-19,1
242,9,27,17.396920196325937,2023-01-20,2023-01-20,1
243,9,27,17.33715752263067,2023-01-21,2023-01-21,3
244,9,27,17.902525018081956,2023-01-26,2023-01-26,2
245,11,27,18.905703654491923,2023-01-30,2023-01-30,1
246,11,27,6.538080803635255,2023-02-01,2023-02-01,5
247,9,27,12.893623514131347,2023-02-02,2023-02-02,5
248,9,27,5.901865329247846,2023-02-05,2023-02-05,1
249,9,27,5.255070566831822,2023-02-06,2023-02-06,3
250,11,27,1.7674902485252302,2023-02-11,2023-02-11,4
251,9,27,7.035513137311463,2023-02-12,2023-02-12,1
252,11,27,19.89630695909438,2023-02-12,2023-02-12,5
253,11,27,12.040946648466289,2023-02-14,2023-02-14,2
254,11,27,1.8429842170763533,2023-02-15,2023-02-15,4
255,9,27,1.4978849656104718,2023-02-16,2023-02-16,4
256,9,27,14.01029070073941,2023-02-18,2023-02-18,3
257,3,28,10.579242202100492,2023-04-23,2023-04-23,2
258,3,28,13.097757762813838,2023-04-27,2023-04-27,1
259,3,28,15.070677870964165,2023-04-28,2023-04-28,2
260,2,28,17.311140747557403,2023-05-01,2023-05-01,5
261,2,28,13.21332722122177,2023-05-02,2023-05-02,1
262,3,28,14.744220998537672,2023-05-04,2023-05-04,4
263,3,28,2.0241385990523684,2023-05-06,2023-05-06,5
264,3,28,16.142422912812492,2023-05-10,2023-05-10,5
265,2,28,13.357255622787775,2023-05-13,2023-05-13,4
266,2,28,17.75610893869292,2023-05-14,2023-05-14,2
267,3,28,1.0357273455553928,2023-05-16,2023-05-16,5
268,12,29,9.988374832661,2023-08-17,2023-08-17,4
269,10,29,17.075331592977967,2023-08-23,2023-08-23,4
270,12,29,1.611217693879279,2023-08-24,2023-08-24,3
271,10,29,6.279612353093348,2023-08-28,2023-08-28,4
272,10,29,8.895962681460958,2023-08-31,2023-08-31,5
273,11,29,16.924014105869233,2023-09-06,2023-09-06,1
274,11,29,16.830538635285357,2023-09-12,2023-09-12,4
275,11,30,17.506250726417477,2023-02-18,2023-02-18,3
276,9,30,5.017892346946825,2023-02-22,2023-02-22,5
277,9,30,17.50096114272347,2023-02-24,2023-02-24,5
278,3,30,16.50308090106273,2023-03-01,2023-03-01,3
279,3,30,3.7674177626932646,2023-03-02,2023-03-02,2
280,3,30,3.279066993834086,2023-03-09,2023-03-09,4
281,2,30,10.179354044049408,2023-03-11,2023-03-11,5
282,3,30,15.069175800344846,2023-03-13,2023-03-13,1
283,3,30,13.283041559117093,2023-03-15,2023-03-15,2
284,2,30,1.8903002303708212,2023-03-16,2023-03-16,4
285,3,30,19.7393991056821,2023-03-17,2023-03-17,3
286,2,30,6.11971871191667,2023-03-17,2023-03-17,5
287,2,30,3.1122904557536395,2023-03-18,2023-03-18,2
288,10,31,8.222221807231122,2023-06-23,2023-06-23,2
289,12,31,16.598890963248046,2023-06-27,2023-06-27,3
290,10,31,1.0265976840381077,2023-06-29,2023-06-29,3
291,10,31,4.08135574789892,2023-06-30,2023-06-30,5
292,12,31,2.3286744967348176,2023-06-30,2023-06-30,3
293,12,31,12.251594965443736,2023-07-03,2023-07-03,3
294,12,31,19.413918768116943,2023-07-08,2023-07-08,5
295,12,31,4.1547554677983545,2023-07-11,2023-07-11,1
296,10,31,19.461202614114132,2023-07-12,2023-07-12,5
297,12,31,1.2535398680602434,2023-07-19,2023-07-19,5
298,10,31,19.05256548009437,2023-07-23,2023-07-23,4
299,11,32,18.314014718142662,2023-02-05,2023-02-05,5
300,9,32,19.285522801656334,2023-02-08,2023-02-08,5
301,11,32,18.22547975985632,2023-02-09,2023-02-09,1
302,9,32,8.33369464551911,2023-02-19,2023-02-19,4
303,9,32,8.425547481882774,2023-02-20,2023-02-20,1
304,11,32,3.3923049484138326,2023-02-22,2023-02-22,2
305,2,32,19.657900444736857,2023-03-02,2023-03-02,3
306,12,33,15.425235764025935,2023-08-14,2023-08-14,5
307,12,33,19.659267553026698,2023-08-18,2023-08-18,4
308,10,33,5.379031580551789,2023-08-20,2023-08-20,5
309,12,33,19.79618739926026,2023-08-31,2023-08-31,3
310,11,34,13.297116235557578,2023-02-04,2023-02-04,1
311,9,34,13.982896120096154,2023-02-06,2023-02-06,2
312,9,34,12.032327904968378,2023-02-08,2023-02-08,5
313,9,34,7.875723208933367,2023-02-09,2023-02-09,2
314,9,34,10.653713364390176,2023-02-11,2023-02-11,5
315,11,34,7.92931438821539,2023-02-16,2023-02-16,4
316,9,34,10.593298954408773,2023-02-26,2023-02-26,1
317,3,34,2.9634677334184003,2023-03-01,2023-03-01,4
318,2,34,5.490587259149756,2023-03-05,2023-03-05,1
319,11,35,1.431922716963383,2023-10-12,2023-10-12,4
320,11,35,8.47076025877507,2023-10-17,2023-10-17,4
321,11,35,8.056507021570992,2023-10-18,2023-10-18,2
322,11,35,3.41079475156876,2023-10-19,2023-10-19,2
323,11,35,17.010546497117062,2023-11-05,2023-11-05,5
324,11,36,6.399976417690032,2023-10-27,2023-10-27,5
325,11,36,18.600781486791842,2023-11-01,2023-11-01,1
326,11,36,11.96029535333023,2023-11-12,2023-11-12,2
327,11,37,3.154532578295603,2023-11-07,2023-11-07,2
328,11,37,8.150152478338342,2023-11-26,2023-11-26,3
329,11,37,17.38717695310507,2023-11-27,2023-11-27,4
330,9,37,7.1925962010009306,2023-12-05,2023-12-05,4
331,12,38,1.139691959540024,2023-08-23,2023-08-23,3
332,12,38,3.7350430006119772,2023-08-25,2023-08-25,3
333,10,38,2.2287047487322544,2023-08-25,2023-08-25,2
334,10,38,18.660263260246648,2023-08-28,2023-08-28,5
335,11,38,5.223975776915351,2023-09-01,2023-09-01,5
336,11,38,2.3080311378415193,2023-09-02,2023-09-02,1
337,11,38,14.704361009647597,2023-09-03,2023-09-03,2
338,11,38,4.3097674540472815,2023-09-04,2023-09-04,5
339,11,38,15.681909229669076,2023-09-11,2023-09-11,3
340,11,38,10.620167019900123,2023-09-17,2023-09-17,4
341,10,39,12.417737809102986,2023-07-22,2023-07-22,1
342,12,39,14.194581534136258,2023-07-31,2023-07-31,1
343,12,39,7.9837029225424505,2023-08-01,2023-08-01,2
344,10,39,8.352162938485638,2023-08-02,2023-08-02,3
345,12,39,17.50910682256723,2023-08-10,2023-08-10,2
346,12,39,7.056193059214014,2023-08-12,2023-08-12,1
347,12,39,17.09147933768154,2023-08-18,2023-08-18,2
348,10,39,1.5068315899368354,2023-08-19,2023-08-19,1
349,11,40,11.343408879093383,2023-11-15,2023-11-15,4
350,11,40,16.871753294635596,2023-11-24,2023-11-24,3
351,11,40,17.932480325541615,2023-11-28,2023-11-28,1
352,11,40,4.057722546134485,2023-11-29,2023-11-29,3
353,9,40,1.7316803528464513,2023-12-04,2023-12-04,4
354,11,40,2.082831727684326,2023-12-04,2023-12-04,5
355,9,40,5.336311211540253,2023-12-06,2023-12-06,1
356,9,40,3.0168410686320777,2023-12-08,2023-12-08,5
357,11,40,4.615247676515892,2023-12-14,2023-12-14,5
358,11,40,7.07918928280654,2023-12-15,2023-12-15,4
359,3,41,8.316303309424761,2023-05-02,2023-05-02,4
360,3,41,15.945717399266675,2023-05-07,2023-05-07,1
361,2,41,8.22780562865498,2023-05-11,2023-05-11,3
362,3,41,2.926132445180751,2023-05-23,2023-05-23,3
363,2,41,19.265826782564627,2023-05-23,2023-05-23,3
364,2,41,15.437312873925556,2023-05-26,2023-05-26,3
365,12,41,15.678753513424997,2023-06-01,2023-06-01,2
366,11,42,14.608738945228088,2023-11-25,2023-11-25,2
367,11,42,9.429111816670956,2023-12-06,2023-12-06,2
368,9,42,17.995025273722877,2023-12-07,2023-12-07,5
369,11,42,10.724207196812817,2023-12-07,2023-12-07,4
370,9,42,5.962591775105572,2023-12-11,2023-12-11,2
371,9,42,8.585760366664895,2023-12-13,2023-12-13,4
372,11,42,12.81239788054631,2023-12-13,2023-12-13,5
373,9,42,8.721701843880407,2023-12-19,2023-12-19,1
374,11,42,11.475144655750801,2023-12-21,2023-12-21,3
375,12,43,8.162508594523413,2023-06-13,2023-06-13,5
376,12,43,9.576750029811613,2023-06-14,2023-06-14,2
377,10,43,9.648855245070642,2023-06-19,2023-06-19,5
378,10,43,15.184295322796533,2023-06-20,2023-06-20,3
379,10,43,3.985490397790309,2023-06-21,2023-06-21,4
380,12,43,9.181170842526708,2023-06-24,2023-06-24,4
381,10,43,5.012093949111118,2023-06-25,2023-06-25,3
382,12,43,13.455039513399816,2023-06-27,2023-06-27,1
383,10,43,16.600744235112558,2023-06-29,2023-06-29,1
384,12,43,16.986267391162393,2023-07-01,2023-07-01,3
385,10,43,1.18574837544038,2023-07-07,2023-07-07,4
386,10,43,14.512159117673276,2023-07-08,2023-07-08,1
387,10,43,16.413957519238075,2023-07-11,2023-07-11,2
388,10,44,17.033811674458498,2023-07-20,2023-07-20,4
389,12,44,5.288232463031404,2023-07-21,2023-07-21,4
390,10,44,14.25303128757168,2023-07-23,2023-07-23,1
391,10,44,3.387541940183958,2023-07-26,2023-07-26,2
392,12,44,18.74808197342803,2023-07-27,2023-07-27,5
393,10,44,19.150731575847733,2023-07-28,2023-07-28,5
394,10,44,5.77869162349746,2023-07-29,2023-07-29,2
395,12,44,17.797327943150442,2023-08-03,2023-08-03,4
396,12,44,5.5012763494893555,2023-08-04,2023-08-04,5
397,10,44,9.126475182789948,2023-08-05,2023-08-05,2
398,10,44,10.290711670265777,2023-08-08,2023-08-08,1
399,10,44,6.6128515682595586,2023-08-15,2023-08-15,5
400,10,45,9.736963964633466,2023-06-12,2023-06-12,1
401,10,45,3.396795727348014,2023-06-14,2023-06-14,5
402,12,45,16.382577960308133,2023-06-22,2023-06-22,3
403,12,45,7.492154051754574,2023-06-24,2023-06-24,1
404,10,45,19.540512956196707,2023-06-24,2023-06-24,5
405,10,45,2.2106824243161,2023-06-29,2023-06-29,5
406,10,45,1.985291009943176,2023-07-02,2023-07-02,4
407,10,45,2.0332690696000357,2023-07-03,2023-07-03,4
408,10,45,17.92515101877329,2023-07-06,2023-07-06,2
409,12,45,16.713992223877636,2023-07-07,2023-07-07,3
410,9,46,15.238020820823893,2023-01-02,2023-01-02,1
411,11,46,12.350483098050745,2023-01-05,2023-01-05,1
412,11,46,18.150945890899827,2023-01-06,2023-01-06,1
413,9,46,10.33164158975573,2023-01-07,2023-01-07,4
414,11,46,19.126642741594278,2023-01-07,2023-01-07,5
415,11,46,10.631677855650118,2023-01-11,2023-01-11,3
416,9,46,6.362932567502196,2023-01-15,2023-01-15,4
417,11,46,11.718923117786344,2023-01-16,2023-01-16,5
418,9,46,12.450559825856411,2023-01-17,2023-01-17,1
419,11,46,19.193292781902645,2023-01-18,2023-01-18,2
420,11,46,3.1097692439833784,2023-01-19,2023-01-19,5
421,9,46,4.704195737537949,2023-01-25,2023-01-25,2
422,9,46,1.554448398778145,2023-01-31,2023-01-31,4
423,10,47,8.638984517207184,2023-08-27,2023-08-27,3
424,11,47,10.974158954339881,2023-09-01,2023-09-01,1
425,11,47,11.69179257511852,2023-09-03,2023-09-03,5
426,11,47,6.573920187224706,2023-09-12,2023-09-12,3
427,11,47,2.7458518365118088,2023-09-21,2023-09-21,4
428,11,47,19.816185316865152,2023-09-23,2023-09-23,4
429,12,48,8.337144464654465,2023-06-06,2023-06-06,4
430,10,48,18.6382526112892,2023-06-14,2023-06-14,2
431,12,48,11.21791349019593,2023-06-15,2023-06-15,2
432,10,48,18.935657545314026,2023-06-16,2023-06-16,5
433,12,48,14.065556529535797,2023-06-18,2023-06-18,3
434,12,48,4.067128073367116,2023-06-21,2023-06-21,2
435,10,48,11.739308036250089,2023-06-25,2023-06-25,2
436,12,48,4.05293596786758,2023-06-26,2023-06-26,4
437,12,48,18.74015552534606,2023-06-29,2023-06-29,1
438,10,48,16.01973103482588,2023-06-30,2023-06-30,2
439,2,49,19.31829797772037,2023-05-28,2023-05-28,3
440,3,49,6.693305773892848,2023-05-29,2023-05-29,3
441,12,49,4.197037851708409,2023-06-02,2023-06-02,5
442,10,49,12.372354218891548,2023-06-07,2023-06-07,2
443,12,49,1.0920424782187554,2023-06-08,2023-06-08,2
444,12,49,14.828072410960372,2023-06-10,2023-06-10,3
445,10,49,17.87571842509167,2023-06-14,2023-06-14,3
446,12,49,5.751400707889089,2023-06-22,2023-06-22,2
447,11,50,14.153700259453128,2023-12-25,2023-12-25,5
448,11,50,18.28593837572045,2023-12-27,2023-12-27,5
449,9,50,14.264563254992241,2023-12-27,2023-12-27,2
450,9,50,13.206763085849083,2023-12-30,2023-12-30,4
451,11,50,17.769837660475243,2024-01-02,2024-01-02,1
452,11,50,3.914543007820638,2024-01-04,2024-01-04,2
453,11,50,1.6442194796121203,2024-01-07,2024-01-07,4
454,9,50,6.489767316109884,2024-01-08,2024-01-08,2
455,11,50,13.760844363479613,2024-01-09,2024-01-09,1
456,11,50,16.563582723844945,2024-01-10,2024-01-10,3
457,11,50,19.003020116102288,2024-01-11,2024-01-11,1
458,11,50,1.801928197830558,2024-01-12,2024-01-12,4
459,11,50,1.496151942553321,2024-01-16,2024-01-16,1
460,3,51,14.679642106205431,2023-04-19,2023-04-19,1
461,2,51,19.175562516897344,2023-04-19,2023-04-19,3
462,2,51,12.07749076082854,2023-04-27,2023-04-27,3
